signature,returns,anon_exec,auth_exec,search_path_pinned,references_auth_uid,ownership_check,writes,used_by_policy,used_by_trigger,used_by_cron,app_callers,edge_callers,risk
stop_live_share(),void,false,true,true,true,false,true,false,false,false,src/services/engagement/emergencyService.ts,,HIGH
suggest_business_login(p_business_id text),text,false,true,true,true,true,false,false,false,false,src/services/marketplace/businessAccessService.ts,,LOW
sweep_my_appointments(),void,false,true,true,true,true,true,false,false,false,src/services/engagement/appointmentService.ts,,LOW
sweep_stale_appointment_holds(),void,false,true,true,false,false,true,false,false,false,,,HIGH
sync_me_too_count(),trigger,false,false,true,false,false,true,false,false,false,,,LOW
sync_post_comments_count(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
sync_post_likes_count(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
sync_request_me_too(),trigger,false,true,true,false,true,true,false,true,false,,,LOW
sync_request_proposal_count(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
tg_complete_appointment_on_delivery(),trigger,false,true,true,false,false,false,false,true,false,,,LOW
